user_id,variation
4463,Blue-Green
4235,Green
6677,Blue-Grey
4671,Brown
4672,Brown
4676,Blue-Green
4667,Brown
4539,Hazel
4241,Brown
4245,Hazel
4248,Hazel
4482,Hazel
4251,Brown-Green
4258,Green
4268,Brown
4271,Hazel
4276,Brown
4547,Hazel
4554,Blue
9862,Blue-Green
7610,Brown
4568,Blue
4569,Hazel
4648,Blue
3097,Blue
4249,Blue-Grey
4343,Hazel
4290,Brown
4346,Brown-Green
4488,Brown
7527,Blue-Grey
4320,Brown
4356,Hazel
4359,Blue
4360,Blue-Grey
7613,Hazel
4565,Hazel
4577,Brown
4594,Blue
4597,Brown
4381,Brown
4399,Green
3720,Brown
4505,Brown
4507,Brown
1050,Hazel
4490,Brown
2732,Brown
4598,Brown
4602,Hazel
4605,Brown
4230,Brown
4499,Blue
4502,Brown
4587,Green
4604,Brown
4613,Blue
4621,Blue-Green
4430,Blue-Grey
3395,Brown
4428,Brown
5359,Brown
4632,Brown
4652,Brown-Green
4654,Blue-Green
4643,Brown-Green
4552,Blue-Green
4644,Brown
11585,Brown
3303,Brown-Green
2074,Blue
4694,Green
4695,Blue
4679,Blue-Green
4680,Brown
5362,Blue-Grey
4715,Brown
4756,Blue
4754,Hazel
4758,Brown
1426,Green
5146,Brown
5233,Blue
5235,Blue-Grey
4712,Mixed
5743,Green
4774,Blue-Green
4030,Hazel
5099,Hazel
5098,Blue-Green
5155,Hazel
5154,Green
5164,Blue-Green
4796,Brown
4797,Hazel
4813,Brown-Green
4814,Brown
3111,Hazel
4825,Blue-Green
4832,Blue-Grey
4834,Blue-Green
4833,Brown
4851,Brown
4837,Brown
4859,Brown
4879,Mixed
4880,Brown
4842,Blue
4910,Blue-Grey
4917,Blue
4928,Blue
5167,Brown
4932,Hazel
4935,Blue-Green
4912,Brown-Green
4941,Green
5741,Blue-Green
9039,Brown
5207,Brown-Green
7098,Hazel
4943,Brown
5195,Brown
4954,Blue
4962,Blue
5103,Blue-Green
5105,Brown-Green
5107,Hazel
5168,Blue-Green
4970,Blue
4979,Hazel
4983,Blue
4985,Blue-Green
4990,Brown
4998,Brown
6793,Brown
6583,Brown
4996,Blue-Green
5221,Green
5170,Green
6632,Blue
6633,Hazel
6617,Green
6690,Blue
5014,Blue-Green
6695,Brown
5176,Blue
5165,Brown
5024,Blue-Grey
5034,Hazel
5182,Brown-Green
5180,Blue-Green
5041,Hazel
5048,Blue
5223,Blue
4055,Blue
5062,Brown
2069,Brown
5027,Blue
5185,Brown
2393,Green
5249,Blue-Grey
5251,Blue-Grey
5255,Brown
5257,Blue
5258,Blue
5261,Blue-Green
4135,Blue-Grey
5432,Blue
5263,Brown
5267,Green
5270,Blue
5274,Hazel
5439,Blue-Green
5199,Blue
5745,Brown
5748,Blue-Grey
5351,Blue-Grey
5397,Blue-Grey
5408,Brown
5442,Brown-Green
5456,Hazel
5460,Brown
5288,Brown
5302,Brown
5326,Blue-Grey
5310,Brown-Green
5332,Brown
5342,Hazel
5355,Brown
5447,Blue
5478,Blue-Grey
5480,Hazel
5485,Brown
5483,Blue
5475,Blue-Green
5487,Blue
5494,Blue
5495,Blue
5501,Blue
5506,Brown
5514,Green
5515,Brown
5529,Hazel
5531,Brown
5536,Brown
5540,Blue
5768,Brown
5557,Brown
5560,Brown
5568,Blue-Grey
5572,Brown
5573,Mixed
5769,Blue-Green
5810,Brown
5820,Mixed
5821,Blue
5826,Brown
5830,Brown
5833,Brown
5641,Brown
5575,Mixed
3087,Brown
5582,Blue-Grey
4735,Brown
5775,Blue
5790,Blue
5792,Blue-Grey
5795,Brown-Green
5803,Brown
5594,Brown
5800,Green
5612,Mixed
5613,Blue-Green
7099,Hazel
